208.2,16.7,3,297.4,82.6,126,138.2,1.5,109.2,0
208.2,16.7,3,298.5,81.2,126,138.2,1.5,109.2,0
208.2,17,3,297.4,80.7,125.4,138.8,1.8,109,0
207.3,17,3.3,297.4,79.7,126,138.8,1.5,108.9,0
208.2,17,3,297.4,81.2,126,138.2,1.5,109,0
207.3,16.7,3.3,297.4,80.7,125.4,138.2,1.8,108.8,0
207.3,17,3,297.4,79.7,125.4,138.2,1.5,108.7,0
207.3,17,3,297.4,77.8,126,138.8,1.2,108.6,0
207.3,16.7,3.3,297.4,78.3,126,138.8,1.8,108.7,0
207.3,16.7,3,297.4,78.8,125.4,137.6,2.1,108.5,0
206.5,16.3,3.3,297.4,78.8,125.4,138.2,1.5,108.4,0
206.5,17,3,297.4,78.8,126,138.2,1.8,108.6,0
206.5,16.3,3,297.4,77.8,125.4,138.2,1.8,108.3,0
206.5,16.7,2.7,297.4,78.8,124.8,137.6,1.8,108.3,0
205.7,16.3,2.7,297.4,77.8,125.4,138.2,1.5,108.1,0
206.5,16.3,3,298.5,78.8,126,137.6,1.5,108.5,0
206.5,16.3,3,296.2,78.8,125.4,137.6,1.5,108.2,0
205.7,16.7,3,297.4,77.8,124.8,137.6,2.1,108.1,0
206.5,16.3,3.3,297.4,77.8,125.4,137.6,1.5,108.2,0
205.7,16.7,3,296.2,78.3,124.2,137.6,1.5,107.9,0
205.7,16.7,3,297.4,77.8,123.6,137.6,1.2,107.9,0
205.7,16.7,3,297.4,76.9,123.6,137.6,1.5,107.8,0
205.7,16.7,3,296.2,77.4,123.6,137.6,1.8,107.7,0
206.5,16.7,3,296.2,78.3,123.6,138.2,1.5,108,0
206.5,17,3.3,296.2,79.3,123.6,138.8,1.8,108.3,0
206.5,16.7,3.3,297.4,78.8,123.6,138.2,1.2,108.2,0
209.9,16.7,3,297.4,79.3,124.2,138.2,1.5,108.8,0
210.7,16.7,3.6,297.4,80.7,124.2,138.8,1.5,109.2,0
211.6,17,3.3,296.2,81.2,124.2,137.6,1.8,109.1,0
211.6,16.7,3,296.2,80.7,124.2,138.8,1.5,109.1,0
211.6,17,3.3,296.2,79.3,126,138.8,1.5,109.2,0
208.2,17,3.3,296.2,80.7,125.4,138.8,1.5,108.9,0
208.2,17,3.3,298.5,79.3,126,138.8,1.5,109.1,0
207.3,17,3,298.5,80.7,126,139.5,1.5,109.2,0
208.2,17,3.3,298.5,82.1,126.6,139.5,1.5,109.6,0
208.2,17,3,298.5,82.1,126,139.5,1.5,109.5,0
209,17,3.3,298.5,81.6,126,139.5,1.5,109.6,0
208.2,21.4,3,298.5,82.6,126.6,138.8,1.8,110.1,0
208.2,22.7,3.3,298.5,82.1,126.6,139.5,1.5,110.3,0
209,24.5,3.6,298.5,83.1,127.2,138.8,1.5,110.8,0
209.9,24.5,3.3,298.5,84,126.6,139.5,1.5,111,0
209.9,24.8,3.6,299.7,84,126.6,139.5,1.5,111.2,0
209.9,25.2,3.3,298.5,84,127.2,138.8,1.5,111.1,0
209.9,25.2,3.3,298.5,83.6,127.2,139.5,1.8,111.1,0
209,25.5,3.3,298.5,84,126.6,138.8,1.5,110.9,0
209.9,25.9,3.3,298.5,84,127.2,139.5,1.5,111.2,0
209,25.9,3.6,298.5,83.6,126.6,139.5,1.8,111.1,0
208.2,25.5,3.3,298.5,83.6,127.2,139.5,1.5,110.9,0
209,25.5,3.3,299.7,84,127.2,139.5,1.8,111.3,0
209.9,26.2,3.3,299.7,84.5,127.2,139.5,1.8,111.5,0
208.2,26.2,3.6,299.7,84.5,127.2,139.5,1.5,111.3,0
209,25.9,3.3,299.7,84,127.2,139.5,1.5,111.3,0
209,25.9,3.3,299.7,84.5,126.6,139.5,1.5,111.2,0
209,25.9,3.6,300.9,84.5,127.2,139.5,1.5,111.5,0
209.9,25.9,3.3,300.9,84.5,127.2,139.5,1.5,111.6,0
209.9,25.9,3.9,300.9,84.5,127.2,139.5,2.1,111.7,0
209.9,25.9,3.3,300.9,84,127.2,139.5,2.4,111.6,0
209.9,25.9,3.6,302,84,127.2,139.5,1.2,111.7,0
209.9,26.2,3.6,302,85,127.2,139.5,1.2,111.8,0
209.9,25.9,3.6,302,84.5,127.8,139.5,1.2,111.8,0
209.9,25.9,3.3,302,84.5,127.8,138.8,1.5,111.7,0
209.9,25.5,3.6,300.9,85,127.2,139.5,1.5,111.6,0
209,25.5,3.6,300.9,84.5,127.8,139.5,1.8,111.6,0
209,24.8,3.6,300.9,84.5,127.2,139.5,1.5,111.4,0
209.9,23.8,3.3,299.7,84.5,127.2,139.5,1.5,111.2,0
209.9,22.7,3.3,300.9,85,127.2,139.5,1.8,111.3,0
209,22.7,3.3,302,84.5,127.2,139.5,1.5,111.2,0
209.9,22.7,3,299.7,84.5,127.2,138.8,1.8,111,0
209,22.4,3.3,299.7,84.5,127.2,140.1,1.5,111,0
209.9,20,3.6,300.9,84,127.2,140.1,1.8,110.9,0
209.9,19.7,3.3,300.9,84,127.2,140.1,1.5,110.8,0
209.9,19.3,3.6,300.9,84.5,126.6,140.1,1.5,110.8,0
209.9,19.3,3.6,300.9,83.6,127.2,139.5,1.5,110.7,0
209,19,3.3,300.9,84,127.2,139.5,1.2,110.5,0
209.9,18.7,3,299.7,84,127.2,139.5,1.5,110.4,0
209.9,19,3.3,299.7,84,127.2,140.1,1.5,110.6,0
